,Matrix
90,"[[-5.11689248e-02  2.16175451e-04  9.98689873e-01]
 [ 4.38024957e-02 -9.99037180e-01  2.46051214e-03]
 [ 9.97728847e-01  4.38710157e-02  5.11099457e-02]]"
91,"[[-5.10218838e-02  2.02730466e-04  9.98697538e-01]
 [ 4.39292501e-02 -9.99031648e-01  2.44707557e-03]
 [ 9.97730943e-01  4.39968873e-02  5.09636205e-02]]"
92,"[[-5.14164987e-02  1.58818767e-04  9.98677458e-01]
 [ 4.35658406e-02 -9.99047671e-01  2.40185504e-03]
 [ 9.97726770e-01  4.36317104e-02  5.13609792e-02]]"
93,"[[-5.16354118e-02  3.65983024e-04  9.98666130e-01]
 [ 4.36183155e-02 -9.99044829e-01  2.62138873e-03]
 [ 9.97713193e-01  4.36954824e-02  5.15705368e-02]]"
94,"[[-5.13480050e-02  2.87846414e-04  9.98680718e-01]
 [ 4.33008952e-02 -9.99058912e-01  2.51430437e-03]
 [ 9.97741596e-01  4.33728763e-02  5.12870889e-02]]"
95,"[[-5.16848910e-02  2.13290092e-04  9.98663441e-01]
 [ 4.35111827e-02 -9.99049898e-01  2.46525410e-03]
 [ 9.97715135e-01  4.35804429e-02  5.16265487e-02]]"
96,"[[-5.16958702e-02  2.89765564e-05  9.98662868e-01]
 [ 4.39789456e-02 -9.99029798e-01  2.30556086e-03]
 [ 9.97694030e-01  4.40393282e-02  5.16444272e-02]]"
97,"[[-5.19151753e-02  1.02042368e-04  9.98651494e-01]
 [ 4.36537301e-02 -9.99043907e-01  2.37143380e-03]
 [ 9.97696932e-01  4.37179761e-02  5.18610875e-02]]"
98,"[[-5.20020987e-02 -4.74825031e-05  9.98646867e-01]
 [ 4.37749908e-02 -9.99038922e-01  2.23196974e-03]
 [ 9.97686984e-01  4.38318293e-02  5.19539737e-02]]"
99,"[[-5.21270209e-02  2.52985967e-05  9.98640440e-01]
 [ 4.36153613e-02 -9.99045745e-01  2.30194190e-03]
 [ 9.97687541e-01  4.36760579e-02  5.20761277e-02]]"
