,Unnamed: 0.1,Unnamed: 0,imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz,new_ax,new_ay,new_az
73,2936,6184,0,2023-04-06T20:09:38.719021,3989378,2132,793,-622,-1067,-566,-470,169,5,-371,2132.743886811944,794.843911339359,-623.0313106143997
74,2937,6185,0,2023-04-06T20:09:38.723937,3989383,2132,793,-622,-1067,-566,-470,169,5,-371,2132.3840778039353,794.8403619862398,-623.303151889436
75,2938,6186,0,2023-04-06T20:09:38.728475,3989388,2132,793,-622,-1067,-566,-470,169,5,-371,2131.98972575064,794.866058696873,-623.6498442271485
76,2939,6187,0,2023-04-06T20:09:38.732880,3989392,2132,796,-627,-1064,-566,-468,169,5,-371,2131.5747246130895,794.9268183291512,-624.0235523270188
77,2940,6188,0,2023-04-06T20:09:38.737785,3989397,2132,796,-627,-1064,-566,-468,169,5,-371,2131.1555082062046,795.0243292738488,-624.3770286353264
78,2941,6189,0,2023-04-06T20:09:38.742312,3989401,2132,796,-627,-1064,-566,-468,169,5,-371,2130.7511080497416,795.1578724464172,-624.6686842340647
79,2942,6190,0,2023-04-06T20:09:38.748552,3989407,2132,796,-627,-1064,-566,-468,169,5,-371,2130.3827788500735,795.3260273061496,-624.8663747854768
80,2943,6191,0,2023-04-06T20:09:38.753005,3989412,2129,796,-624,-1071,-566,-473,169,5,-371,2130.072829776369,795.5277508128488,-624.9490912444638
81,2944,6192,0,2023-04-06T20:09:38.757956,3989416,2129,796,-624,-1071,-566,-473,169,5,-371,2129.8425529934975,795.7626792167986,-624.9066365331389
82,2945,6193,0,2023-04-06T20:09:38.762399,3989422,2129,796,-624,-1071,-566,-473,169,5,-371,2129.7096042171247,796.0307744811556,-624.7381033831623
83,2946,6194,0,2023-04-06T20:09:38.767293,3989427,2129,796,-624,-1071,-566,-473,169,5,-371,2129.6854849603883,796.3315188008394,-624.450176082854
84,2947,6195,0,2023-04-06T20:09:38.771819,3989431,2129,796,-624,-1062,-558,-473,169,5,-371,2129.773617105013,796.6628943909918,-624.0559226128568
85,2948,6196,0,2023-04-06T20:09:38.776823,3989436,2129,796,-624,-1062,-558,-473,169,5,-371,2129.9681679800497,797.0204188232382,-623.5741958873898
86,2949,6197,0,2023-04-06T20:09:38.781381,3989440,2129,796,-624,-1062,-558,-473,169,5,-371,2130.253651309314,797.3965380481138,-623.029410348243
87,2950,6198,0,2023-04-06T20:09:38.786211,3989445,2129,796,-624,-1062,-558,-473,169,5,-371,2130.6053885745373,797.7807083898065,-622.4513098300072
88,2951,6199,0,2023-04-06T20:09:38.790732,3989450,2131,800,-622,-1058,-560,-469,169,5,-371,2130.990984134231,798.1604598758246,-621.8742900237429
89,2952,6200,0,2023-04-06T20:09:38.795790,3989454,2131,800,-622,-1058,-560,-469,169,5,-371,2131.372894672885,798.5234342443853,-621.3359369737899
90,2953,6201,0,2023-04-06T20:09:38.800212,3989459,2131,800,-622,-1058,-560,-469,169,5,-371,2131.7119506984814,798.8598295226974,-620.8746969142555
91,2954,6202,0,2023-04-06T20:09:38.805294,3989465,2131,800,-622,-1058,-560,-469,169,5,-371,2131.9715604304165,799.1643630393365,-620.5267539600904
92,2955,6203,0,2023-04-06T20:09:38.809999,3989469,2136,800,-617,-1058,-562,-473,170,0,-360,2132.122400525674,799.4371653564797,-620.3221528036751
93,2956,6204,0,2023-04-06T20:09:38.815098,3989474,2136,800,-617,-1058,-562,-473,170,0,-360,2132.1472463349905,799.6835622850354,-620.2803901245416
94,2957,6205,0,2023-04-06T20:09:38.819758,3989479,2136,800,-617,-1058,-562,-473,170,0,-360,2132.0449671255665,799.9129895732808,-620.4063606567294
95,2958,6206,0,2023-04-06T20:09:38.824045,3989483,2136,800,-617,-1058,-562,-473,170,0,-360,2131.8322477372944,800.1373197185343,-620.688043841055
96,2959,6207,0,2023-04-06T20:09:38.828615,3989487,2136,800,-617,-1058,-562,-473,170,0,-360,2131.541877267391,800.3688566762387,-621.0970761158994
97,2960,6208,0,2023-04-06T20:09:38.832949,3989492,2125,800,-626,-1056,-564,-479,170,0,-360,2131.217213825881,800.6182388794697,-621.5926586313375
98,2961,6209,0,2023-04-06T20:09:38.838022,3989497,2125,800,-626,-1056,-564,-479,170,0,-360,2130.903597210829,800.8924861416638,-622.1282906950863
99,2962,6210,0,2023-04-06T20:09:38.842485,3989501,2125,800,-626,-1056,-564,-479,170,0,-360,2130.639052110917,801.1934320618208,-622.6595814087073
100,2963,6211,0,2023-04-06T20:09:38.847372,3989507,2125,800,-626,-1056,-564,-479,170,0,-360,2130.447459412731,801.516798911997,-623.1507648941371
101,2964,6212,0,2023-04-06T20:09:38.851751,3989511,2133,802,-624,-1060,-568,-465,170,0,-360,2130.336384735047,801.8521617279089,-623.578328285678
102,2965,6213,0,2023-04-06T20:09:38.856902,3989516,2133,802,-624,-1060,-568,-465,170,0,-360,2130.2995987518034,802.1839129718852,-623.9315998235672
103,2966,6214,0,2023-04-06T20:09:38.861511,3989520,2133,802,-624,-1060,-568,-465,170,0,-360,2130.322381229757,802.493073166933,-624.2111071131745
104,2967,6215,0,2023-04-06T20:09:38.866341,3989525,2133,802,-624,-1060,-568,-465,170,0,-360,2130.386967026364,802.7596433901448,-624.4257605854535
105,2968,6216,0,2023-04-06T20:09:38.870932,3989530,2130,805,-624,-1057,-560,-466,170,0,-360,2130.476239755665,802.9652999168866,-624.5896925353568
106,2969,6217,0,2023-04-06T20:09:38.876060,3989535,2130,805,-624,-1057,-560,-466,170,0,-360,2130.575209787426,803.0962551342674,-624.7192297212702
107,2970,6218,0,2023-04-06T20:09:38.880579,3989539,2130,805,-624,-1057,-560,-466,170,0,-360,2130.67091323769,803.1457987453911,-624.830258103543
108,2971,6219,0,2023-04-06T20:09:38.885560,3989544,2130,805,-624,-1057,-560,-466,170,0,-360,2130.751757949381,803.115769897141,-624.9361572192787
109,2972,6220,0,2023-04-06T20:09:38.890097,3989549,2131,802,-625,-1048,-557,-466,170,0,-360,2130.8071011075795,803.0164247062304,-625.0464309281373
110,2973,6221,0,2023-04-06T20:09:38.895046,3989554,2131,802,-625,-1048,-557,-466,170,0,-360,2130.827335753607,802.8647506072665,-625.1660618648576
111,2974,6222,0,2023-04-06T20:09:38.899447,3989559,2131,802,-625,-1048,-557,-466,170,0,-360,2130.804370393068,802.6818676631085,-625.2954668750695
112,2975,6223,0,2023-04-06T20:09:38.904509,3989564,2131,802,-625,-1048,-557,-466,170,0,-360,2130.732234696608,802.490376027722,-625.4308528868619
113,2976,6224,0,2023-04-06T20:09:38.908786,3989568,2131,802,-625,-1048,-557,-466,170,0,-360,2130.6075889250646,802.3122222083506,-625.5648576723704
114,2977,6225,0,2023-04-06T20:09:38.913196,3989572,2130,802,-626,-1049,-570,-464,170,0,-360,2130.430030517227,802.1672002308371,-625.6874929834429
115,2978,6226,0,2023-04-06T20:09:38.918196,3989577,2130,802,-626,-1049,-570,-464,170,0,-360,2130.202201418764,802.071957943943,-625.7874109409807
116,2979,6227,0,2023-04-06T20:09:38.922809,3989581,2130,802,-626,-1049,-570,-464,170,0,-360,2129.9298067300087,802.0393432796582,-625.8533849425814
117,2980,6228,0,2023-04-06T20:09:38.927853,3989586,2130,802,-626,-1049,-570,-464,170,0,-360,2129.6216830131643,802.0779564408767,-625.8758049448168
118,2981,6229,0,2023-04-06T20:09:38.932753,3989592,2130,802,-626,-1049,-570,-464,172,-8,-356,2129.289927208391,802.1918214412265,-625.8480430509372
119,2982,6230,0,2023-04-06T20:09:38.937528,3989597,2130,802,-626,-1049,-570,-464,172,-8,-356,2128.949912389521,802.3801505001146,-625.7676543178915
120,2983,6231,0,2023-04-06T20:09:38.942273,3989601,2130,802,-626,-1049,-570,-464,172,-8,-356,2128.619904009466,802.6372433094537,-625.637414853054
121,2984,6232,0,2023-04-06T20:09:38.947413,3989606,2130,802,-626,-1049,-570,-464,172,-8,-356,2128.319953029674,802.9526355969184,-625.4661674960852
122,2985,6233,0,2023-04-06T20:09:38.951622,3989611,2126,804,-627,-1062,-563,-475,172,-8,-356,2128.069799183828,803.3116513956953,-625.2693803444465
123,2986,6234,0,2023-04-06T20:09:38.956353,3989615,2126,804,-627,-1062,-563,-475,172,-8,-356,2127.8858446283625,803.6964215075801,-625.0691986264172
124,2987,6235,0,2023-04-06T20:09:38.960873,3989620,2126,804,-627,-1062,-563,-475,172,-8,-356,2127.7778564970886,804.0872022902918,-624.893591841136
125,2988,6236,0,2023-04-06T20:09:38.965883,3989625,2126,804,-627,-1062,-563,-475,172,-8,-356,2127.7464203354084,804.463712747537,-624.7740982380375
126,2989,6237,0,2023-04-06T20:09:38.970545,3989629,2127,805,-621,-1061,-568,-472,172,-8,-356,2127.781896873574,804.8063745809724,-624.7418430759637
127,2990,6238,0,2023-04-06T20:09:38.975874,3989635,2127,805,-621,-1061,-568,-472,172,-8,-356,2127.8650574361795,805.0975507330432,-624.822149976096
128,2991,6239,0,2023-04-06T20:09:38.980290,3989640,2127,805,-621,-1061,-568,-472,172,-8,-356,2127.9691853934255,805.3228798505223,-625.0290521911585
129,2992,6240,0,2023-04-06T20:09:38.984942,3989644,2127,805,-621,-1061,-568,-472,172,-8,-356,2128.06334959754,805.4727240304627,-625.3615837146576
130,2993,6241,0,2023-04-06T20:09:38.989953,3989649,2131,808,-628,-1067,-562,-471,172,-8,-356,2128.1166142586303,805.5437292692318,-625.803251565104
131,2994,6242,0,2023-04-06T20:09:38.994993,3989654,2131,808,-628,-1067,-562,-471,172,-8,-356,2128.102794232086,805.5403403906375,-626.3248027339919
132,2995,6243,0,2023-04-06T20:09:38.999593,3989658,2131,808,-628,-1067,-562,-471,172,-8,-356,2128.0048653457065,805.4756934177994,-626.8890469403369
133,2996,6244,0,2023-04-06T20:09:39.004735,3989663,2131,808,-628,-1067,-562,-471,172,-8,-356,2127.817801666463,805.3710134828879,-627.4559500778739
134,2997,6245,0,2023-04-06T20:09:39.009840,3989669,2126,802,-629,-1061,-563,-473,172,-8,-356,2127.54894513197,805.2529090226067,-627.9868247222869
135,2998,6246,0,2023-04-06T20:09:39.014997,3989673,2126,802,-629,-1061,-563,-473,172,-8,-356,2127.215899586272,805.1487966699443,-628.4474004825857
136,2999,6247,0,2023-04-06T20:09:39.019786,3989679,2126,802,-629,-1061,-563,-473,172,-8,-356,2126.842886220246,805.0817437900919,-628.8099709206691
137,3000,6248,0,2023-04-06T20:09:39.024740,3989684,2126,802,-629,-1061,-563,-473,172,-8,-356,2126.4568800682323,805.0665234971602,-629.0548121073339
138,3001,6249,0,2023-04-06T20:09:39.029665,3989689,2125,806,-630,-1065,-572,-462,172,-8,-356,2126.0844084608134,805.1081513228163,-629.1710648393911
139,3002,6250,0,2023-04-06T20:09:39.034746,3989694,2125,806,-630,-1065,-572,-462,172,-8,-356,2125.7492227108955,805.2030361448517,-629.1572426176742
140,3003,6251,0,2023-04-06T20:09:39.039124,3989698,2125,806,-630,-1065,-572,-462,172,-8,-356,2125.4707884277464,805.3418815534166,-629.0213520415724
141,3004,6252,0,2023-04-06T20:09:39.044127,3989703,2125,806,-630,-1065,-572,-462,172,-8,-356,2125.2635515795023,805.5131146324724,-628.7804262426129
142,3005,6253,0,2023-04-06T20:09:39.049357,3989708,2125,806,-630,-1065,-572,-462,172,-8,-356,2125.13689306328,805.705984444914,-628.4592265753425
143,3006,6254,0,2023-04-06T20:09:39.053794,3989713,2126,808,-626,-1063,-563,-472,172,-8,-356,2125.095580342789,805.9130518729512,-628.0879563597149
144,3007,6255,0,2023-04-06T20:09:39.058940,3989718,2126,808,-626,-1063,-563,-472,172,-8,-356,2125.1404350385806,806.1319835586067,-627.6991246770922
145,3008,6256,0,2023-04-06T20:09:39.063911,3989723,2126,808,-626,-1063,-563,-472,172,-8,-356,2125.2688554480455,806.3663659180394,-627.324205176977
146,3009,6257,0,2023-04-06T20:09:39.068445,3989728,2126,808,-626,-1063,-563,-472,172,-8,-356,2125.4748372502218,806.6251153672848,-626.9910016994652
147,3010,6258,0,2023-04-06T20:09:39.072915,3989732,2124,805,-627,-1054,-565,-480,180,10,-362,2125.7483305231553,806.9202823261895,-626.722282611383
148,3011,6259,0,2023-04-06T20:09:39.077916,3989737,2124,805,-627,-1054,-565,-480,180,10,-362,2126.074152867009,807.2635868618581,-626.5356100288112
149,3012,6260,0,2023-04-06T20:09:39.082532,3989741,2124,805,-627,-1054,-565,-480,180,10,-362,2126.431116725073,807.6626346814002,-626.4438708518929
150,3013,6261,0,2023-04-06T20:09:39.086962,3989746,2124,805,-627,-1054,-565,-480,180,10,-362,2126.792267004898,808.1180670345551,-626.4559357988531
151,3014,6262,0,2023-04-06T20:09:39.091307,3989750,2130,810,-627,-1061,-572,-479,180,10,-362,2127.126921049452,808.6226280535933,-626.5770309333633
152,3015,6263,0,2023-04-06T20:09:39.096457,3989755,2130,810,-627,-1061,-572,-479,180,10,-362,2127.404472697267,809.1623635721677,-626.808641072669
153,3016,6264,0,2023-04-06T20:09:39.101007,3989760,2130,810,-627,-1061,-572,-479,180,10,-362,2127.5989135829086,809.7192696699133,-627.1479454213929
154,3017,6265,0,2023-04-06T20:09:39.105931,3989765,2130,810,-627,-1061,-572,-479,180,10,-362,2127.6924930896575,810.2743120066143,-627.5869087948839
155,3018,6266,0,2023-04-06T20:09:39.110836,3989770,2127,813,-627,-1064,-560,-481,180,10,-362,2127.67740494478,810.8101168489301,-628.1112601244671
156,3019,6267,0,2023-04-06T20:09:39.116228,3989775,2127,813,-627,-1064,-560,-481,180,10,-362,2127.555399620861,811.3131247883173,-628.699694770776
157,3020,6268,0,2023-04-06T20:09:39.120795,3989780,2127,813,-627,-1064,-560,-481,180,10,-362,2127.3360267684575,811.7749658495882,-629.3237331767234
158,3021,6269,0,2023-04-06T20:09:39.125800,3989785,2127,813,-627,-1064,-560,-481,180,10,-362,2127.0344406110453,812.192640132604,-629.948749456104
159,3022,6270,0,2023-04-06T20:09:39.130684,3989790,2126,811,-634,-1063,-566,-469,180,10,-362,2126.6693780299233,812.5673270680808,-630.5366325392754
160,3023,6271,0,2023-04-06T20:09:39.135890,3989794,2126,811,-634,-1063,-566,-469,180,10,-362,2126.2614776733785,812.9021926810769,-631.0500215982009
161,3024,6272,0,2023-04-06T20:09:39.140246,3989799,2126,811,-634,-1063,-566,-469,180,10,-362,2125.83193342331,813.2000435597116,-631.4570615779076
162,3025,6273,0,2023-04-06T20:09:39.145165,3989805,2126,811,-634,-1063,-566,-469,180,10,-362,2125.401444497677,813.4618394943301,-631.7350352892445
163,3026,6274,0,2023-04-06T20:09:39.149793,3989809,2124,816,-631,-1058,-564,-472,180,10,-362,2124.9893343048143,813.6867996147157,-631.8717570952593
164,3027,6275,0,2023-04-06T20:09:39.154738,3989814,2124,816,-631,-1058,-564,-472,180,10,-362,2124.6127037417723,813.8741195450465,-631.8647436122194
165,3028,6276,0,2023-04-06T20:09:39.159133,3989818,2124,816,-631,-1058,-564,-472,180,10,-362,2124.285687861041,814.0254114055421,-631.7190327604843
166,3029,6277,0,2023-04-06T20:09:39.164059,3989823,2124,816,-631,-1058,-564,-472,180,10,-362,2124.019043811275,814.1465151609973,-631.4447341854949
167,3030,6278,0,2023-04-06T20:09:39.168577,3989827,2124,816,-631,-1058,-564,-472,180,10,-362,2123.820173755467,814.2476881584417,-631.0550177024859
168,3031,6279,0,2023-04-06T20:09:39.173992,3989832,2124,812,-630,-1058,-561,-479,180,10,-362,2123.6934499654435,814.3419197239704,-630.5646997696031
