imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
0,2023-03-01T18:52:24.999930,1734524,1307,1840,53,-1273,-607,-394,-21,147,-185
0,2023-03-01T18:52:25.005750,1734530,1307,1840,53,-1273,-607,-394,-21,147,-185
0,2023-03-01T18:52:25.010639,1734535,1304,1836,46,-1281,-606,-384,-21,147,-185
0,2023-03-01T18:52:25.016559,1734541,1304,1836,46,-1281,-606,-384,-21,147,-185
0,2023-03-01T18:52:25.022834,1734547,1304,1836,46,-1281,-606,-384,-21,147,-185
0,2023-03-01T18:52:25.028662,1734553,1305,1833,44,-1276,-595,-386,-21,147,-185
0,2023-03-01T18:52:25.034323,1734558,1305,1833,44,-1276,-595,-386,-21,147,-185
0,2023-03-01T18:52:25.040387,1734564,1305,1833,44,-1276,-595,-386,-21,147,-185
0,2023-03-01T18:52:25.046665,1734572,1305,1833,44,-1276,-595,-386,-21,147,-185
0,2023-03-01T18:52:25.051249,1734576,1303,1835,54,-1286,-602,-394,-21,147,-185
0,2023-03-01T18:52:25.057194,1734582,1303,1835,54,-1286,-602,-394,-21,147,-185
0,2023-03-01T18:52:25.063444,1734588,1303,1835,54,-1286,-602,-394,-21,147,-185
0,2023-03-01T18:52:25.068394,1734593,1308,1833,47,-1291,-603,-386,-21,147,-185
0,2023-03-01T18:52:25.074016,1734598,1308,1833,47,-1291,-603,-386,-21,147,-185
0,2023-03-01T18:52:25.079238,1734603,1308,1833,47,-1291,-603,-386,-21,147,-185
0,2023-03-01T18:52:25.085323,1734609,1308,1833,47,-1291,-603,-386,-21,147,-185
0,2023-03-01T18:52:25.090438,1734615,1301,1836,53,-1284,-593,-394,-16,140,-184
0,2023-03-01T18:52:25.095998,1734621,1301,1836,53,-1284,-593,-394,-16,140,-184
0,2023-03-01T18:52:25.102098,1734627,1301,1836,53,-1284,-593,-394,-16,140,-184
0,2023-03-01T18:52:25.106938,1734631,1301,1836,53,-1284,-593,-394,-16,140,-184
0,2023-03-01T18:52:25.111789,1734636,1302,1831,50,-1287,-604,-389,-16,140,-184
0,2023-03-01T18:52:25.116525,1734641,1302,1831,50,-1287,-604,-389,-16,140,-184
0,2023-03-01T18:52:25.122231,1734646,1302,1831,50,-1287,-604,-389,-16,140,-184
0,2023-03-01T18:52:25.127400,1734651,1302,1831,50,-1287,-604,-389,-16,140,-184
0,2023-03-01T18:52:25.132301,1734657,1300,1834,46,-1291,-603,-394,-16,140,-184
0,2023-03-01T18:52:25.137601,1734662,1300,1834,46,-1291,-603,-394,-16,140,-184
0,2023-03-01T18:52:25.143472,1734668,1300,1834,46,-1291,-603,-394,-16,140,-184
0,2023-03-01T18:52:25.148763,1734673,1304,1831,57,-1294,-598,-390,-16,140,-184
0,2023-03-01T18:52:25.154291,1734679,1304,1831,57,-1294,-598,-390,-16,140,-184
0,2023-03-01T18:52:25.159103,1734683,1304,1831,57,-1294,-598,-390,-16,140,-184
0,2023-03-01T18:52:25.165113,1734689,1304,1831,57,-1294,-598,-390,-16,140,-184
0,2023-03-01T18:52:25.170057,1734694,1302,1834,57,-1292,-586,-390,-16,140,-184
0,2023-03-01T18:52:25.175572,1734700,1302,1834,57,-1292,-586,-390,-16,140,-184
0,2023-03-01T18:52:25.181948,1734707,1302,1834,57,-1292,-586,-390,-16,140,-184
0,2023-03-01T18:52:25.186565,1734711,1302,1834,57,-1292,-586,-390,-16,140,-184
0,2023-03-01T18:52:25.191489,1734716,1304,1834,63,-1273,-599,-393,-16,140,-184
0,2023-03-01T18:52:25.196787,1734721,1304,1834,63,-1273,-599,-393,-16,140,-184
0,2023-03-01T18:52:25.202610,1734727,1304,1834,63,-1273,-599,-393,-16,140,-184
